_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,hours,menu1,menu10,menu10price,menu11,menu11price,menu12,menu12price,menu13,menu13price,menu14,menu14price,menu15,menu15price,menu16,menu16price,menu17,menu17price,menu18,menu18price,menu19,menu19price,menu1price,menu2,menu20,menu20price,menu2price,menu3,menu3price,menu4,menu4price,menu5,menu5price,menu6,menu6price,menu7,menu7price,menu8,menu8price,menu9,menu9price,when_is_this_business_open,hours_gold,menu1_gold,menu1price_gold,menu2_gold,menu2price_gold,menu3_gold,menu3price_gold,menu4_gold,menu4price_gold,menu5_gold,menu5price_gold,menu6_gold,menu6price_gold,url1,url2,url3,url4,url5,url6,url7
932195096,4/13/2016 21:32:43,true,1957758376,,4/13/2016 21:20:32,false,neodev,1.0,34969140,SRB,00,Belgrade,46.240.249.4,No,Chips & Guacamole,,,,,,,,,,,,,,,,,,,,,$3,Grilled Plantains,,,$1,Fresh Guacamole,$1,Whole Wheat,$0.26,Extra Cheese,$1,Extra Sour Cream,$1,,,,,,,,No,Chips & Guacamole,$3,Grilled Plantains,$1,Fresh Guacamole,$1,Whole Wheat,$0.26,Extra Cheese,$1,Extra Sour Cream,$1,http://i.imgur.com/OgPdZV3.jpg,,,,,,
932196803,4/13/2016 21:13:13,true,1957732883,,4/13/2016 21:04:46,false,neodev,1.0,36956678,UKR,15,Lviv,194.44.121.5,No,Salmon Burger,,,,,,,,,,,,,,,,,,,,,$3,Salmon Cheese Burger,,,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,,,,,,,,No,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,http://i.imgur.com/BH2XCh8.jpg,,,,,,
932196803,4/13/2016 21:13:46,true,1957733733,,4/13/2016 21:07:07,false,clixsense,1.0,19420291,BRA,15,Juiz De Fora,189.13.131.79,No,Salmon Burger,,,,,,,,,,,,,,,,,,,,,$3,Salmon Cheese Burger,,,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,,,,,,,,No,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,http://i.imgur.com/BH2XCh8.jpg,,,,,,
932196803,4/13/2016 21:18:02,true,1957739608,,4/13/2016 21:10:55,false,elite,1.0,32557092,BGR,64,Vratsa,94.139.212.137,No,SALMON BURGER,,,,,,,,,,,,,,,,,,,,,$3,SALMON CHEESE BURGER,,,$3.50,HAM BURGER,$3,CHEESE BURGER,$3.50,DOUBLE CHEESE BURGER,$5,,,,,,,,,,No,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,http://i.imgur.com/BH2XCh8.jpg,,,,,,
932196803,4/13/2016 21:18:54,true,1957740678,,4/13/2016 21:10:31,false,clixsense,0.75,33315191,IND,07,Delhi,106.203.79.249,No,SALMON BURGER,,,,,,,,,,,,,,,,,,,,,$3,SALMON CHEESE BURGER,,,$3.50,HAM BURGER,$3,CHEESE BURGER,$3.50,DOUBLE CHEESE BURGER,$5,,,,,,,,,,No,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,http://i.imgur.com/BH2XCh8.jpg,,,,,,
932196803,4/13/2016 21:22:48,true,1957745619,,4/13/2016 21:16:45,false,elite,1.0,34473616,BIH,"","",91.191.16.135,No,Salmon Burger,,,,,,,,,,,,,,,,,,,,,$3,Salmon Cheese Burger,,,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,,,,,,,,No,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,http://i.imgur.com/BH2XCh8.jpg,,,,,,
932196803,4/13/2016 21:28:14,true,1957752558,,4/13/2016 21:22:52,false,clixsense,1.0,36537552,POL,79,Zdzieszowice,87.206.235.81,No,SALMON BURGER,,,,,,,,,,,,,,,,,,,,,$3,SALMON CHEESE BURGER,,,$3.50,HAM BURGER,$3,CHEESE BURGER,$3.50,DOUBLE CHEESE BURGER,$5,,,,,,,,,,No,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,http://i.imgur.com/BH2XCh8.jpg,,,,,,
932196803,4/13/2016 21:32:19,true,1957758017,,4/13/2016 21:14:53,false,neodev,1.0,33883284,VEN,07,Valencia,186.95.206.30,No,Salmon Burger,,,,,,,,,,,,,,,,,,,,,$3,Salmon Cheese Burger,,,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,,,,,,,,No,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,http://i.imgur.com/BH2XCh8.jpg,,,,,,
932196803,4/13/2016 21:36:08,true,1957762951,,4/13/2016 21:24:18,false,elite,1.0,36882579,GBR,H9,London,193.109.196.152,No,Salmon Burger,,,,,,,,,,,,,,,,,,,,,$3,Salmon Cheese Burger,,,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,,,,,,,,No,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,,,http://i.imgur.com/BH2XCh8.jpg,,,,,,
932197376,4/13/2016 21:19:56,true,1957742091,,4/13/2016 21:12:21,false,neodev,1.0,11358679,ITA,16,Florence,93.51.70.34,No,Italian Sausage,,,,,,,,,,,,,,,,,,,,,$3,Meatball,,,$3,Plain Steak,$4.50,Cheese Steak,$5,Plain Chicken Steak,$4.50,,,,,,,,,,No,Italian Sausage,$3,Meatball,$3,Plain Steak,$4.50,Cheese Steak,$5,Plain Chicken Steak,$4.50,,,http://i.imgur.com/SZP6Zne.jpg,,,,,,
932197376,4/13/2016 21:26:18,true,1957750054,,4/13/2016 21:15:39,false,neodev,1.0,30940159,COL,02,Medellín,186.85.116.137,No,Italian Sausage,,,,,,,,,,,,,,,,,,,,,$3,Meatball,,,$3,Plain Steak,$4.50,Cheese Steak,$5,Plain Chicken Steak,$4.50,,,,,,,,,,No,Italian Sausage,$3,Meatball,$3,Plain Steak,$4.50,Cheese Steak,$5,Plain Chicken Steak,$4.50,,,http://i.imgur.com/SZP6Zne.jpg,,,,,,
932197376,4/13/2016 21:26:40,true,1957750490,,4/13/2016 21:19:33,false,clixsense,1.0,34183330,IDN,04,Jakarta,180.214.233.2,No,ITALIAN SAUSAGE,,,,,,,,,,,,,,,,,,,,,$3,MEATBALL,,,$3,PLAIN STEAK,$4.50,CHEESE STEAK,$5,PLAIN CHICKEN STEAK,$4.50,,,,,,,,,,No,Italian Sausage,$3,Meatball,$3,Plain Steak,$4.50,Cheese Steak,$5,Plain Chicken Steak,$4.50,,,http://i.imgur.com/SZP6Zne.jpg,,,,,,
932197376,4/13/2016 21:34:33,true,1957760773,,4/13/2016 21:13:14,false,neodev,1.0,36956678,UKR,15,Lviv,194.44.121.5,No,Italian Sausage,,,,,,,,,,,,,,,,,,,,,$3,Meatball,,,$3,Plain Steak,$4.50,Cheese Steak,$5,Plain Chicken Steak,$4.50,,,,,,,,,,No,Italian Sausage,$3,Meatball,$3,Plain Steak,$4.50,Cheese Steak,$5,Plain Chicken Steak,$4.50,,,http://i.imgur.com/SZP6Zne.jpg,,,,,,
932197916,4/13/2016 21:18:54,true,1957740649,,4/13/2016 21:10:31,false,clixsense,0.75,33315191,IND,07,Delhi,106.203.79.249,No,BONELESS SPARE RIBS,,,,,,,,,,,,,,,,,,,,,$4.75,SESAME CHICKEN,,,$4.75,ORANGE CHICKEN,$4.75,GENERAL TSO'S CHICKEN,$4.75,SWEET & SOUR CHICKEN,$4.75,,,,,,,,,,No,Boneless Spare Ribs,$4.75,Sesame Chicken,$4.75,Orange Chicken,$4.75,General Tso's Chicken,$4.75,Sweet & Sour Chicken,$4.75,,,http://i.imgur.com/Na4XhLm.jpg,,,,,,
932197916,4/13/2016 21:28:13,true,1957752529,,4/13/2016 21:17:43,false,neodev,1.0,12938520,PRT,04,Braga,212.13.56.12,No,Boneless Spare Ribs,,,,,,,,,,,,,,,,,,,,,$4.75,Sesame Chicken,,,$4.75,Orange Chicken,$4.75,General Tso's Chicken,$4.75,Sweet & Sour Chicken,$4.75,,,,,,,,,,No,Boneless Spare Ribs,$4.75,Sesame Chicken,$4.75,Orange Chicken,$4.75,General Tso's Chicken,$4.75,Sweet & Sour Chicken,$4.75,,,http://i.imgur.com/Na4XhLm.jpg,,,,,,
932197916,4/13/2016 21:29:01,true,1957753579,,4/13/2016 21:20:36,false,clixsense,1.0,34007947,IDN,08,Surabaya,112.215.153.207,No,BONELESS SPARE RIBS,,,,,,,,,,,,,,,,,,,,,$4.75,SESAME CHICKEN,,,$4.75,ORANGE CHICKEN,$4.75,GENERAL TSO'S CHICKEN,$4.75,SWEET & SOUR CHICKEN,$4.75,,,,,,,,,,No,Boneless Spare Ribs,$4.75,Sesame Chicken,$4.75,Orange Chicken,$4.75,General Tso's Chicken,$4.75,Sweet & Sour Chicken,$4.75,,,http://i.imgur.com/Na4XhLm.jpg,,,,,,
932197916,4/13/2016 21:38:31,true,1957766009,,4/13/2016 21:19:15,false,clixsense,1.0,35905302,EGY,"","",45.244.202.141,No,BONELESS SPARE RIBS,,,,,,,,,,,,,,,,,,,,,$4.75,SESAME CHICKEN,,,$4.75,ORANGE CHICKEN,$4.75,GENERAL TSO'S CHICKEN,$4.75,SWEET & SOUR CHICKEN,$4.75,,,,,,,,,,No,Boneless Spare Ribs,$4.75,Sesame Chicken,$4.75,Orange Chicken,$4.75,General Tso's Chicken,$4.75,Sweet & Sour Chicken,$4.75,,,http://i.imgur.com/Na4XhLm.jpg,,,,,,
932197916,4/13/2016 21:44:22,true,1957773419,,4/13/2016 21:16:42,false,neodev,1.0,34980763,ESP,31,Molina De Segura,95.39.140.222,No,Boneless Spare Ribs,,,,,,,,,,,,,,,,,,,,,$4.75,Sesame Chicken,,,$4.75,Orange Chicken,$4.75,General Tso's Chicken,$4.75,Sweet & Sour Chicken,$4.75,,,,,,,,,,No,Boneless Spare Ribs,$4.75,Sesame Chicken,$4.75,Orange Chicken,$4.75,General Tso's Chicken,$4.75,Sweet & Sour Chicken,$4.75,,,http://i.imgur.com/Na4XhLm.jpg,,,,,,
932221818,4/13/2016 21:12:20,true,1957731635,,4/13/2016 21:03:56,false,neodev,1.0,11358679,ITA,16,Florence,93.51.70.34,No,Vegetable Fried Rice,,,,,,,,,,,,,,,,,,,,,$4.25,Pork Fried Rice,,,$4.25,Chicken Fried Rice,$4.25,Beef Fried Rice,$4.50,Shrimp Fried Rice,$4.50,Subgum Fried Rice,$5,,,,,,,,No,Vegetable Fried Rice,$4.25,Pork Fried Rice,$4.25,Chicken Fried Rice,$4.25,Beef Fried Rice,$4.50,Shrimp Fried Rice,$4.50,Subgum Fried Rice,$5,http://i.imgur.com/Ra3SQWS.jpg,,,,,,
932221818,4/13/2016 21:18:47,true,1957740463,,4/13/2016 21:13:04,false,neodev,1.0,36994438,GRC,35,Athens,37.32.247.218,No,VEGETABLE FRIED RICE,,,,,,,,,,,,,,,,,,,,,$4.25,PORK FRIED RICE,,,$4.25,CHICKEN FRIED RICE,$4.25,BEEF FRIED RICE,$4.50,SHRIMP FRIED RICE,$4.50,SUBGUM FRIED RICE,$5,,,,,,,,No,Vegetable Fried Rice,$4.25,Pork Fried Rice,$4.25,Chicken Fried Rice,$4.25,Beef Fried Rice,$4.50,Shrimp Fried Rice,$4.50,Subgum Fried Rice,$5,http://i.imgur.com/Ra3SQWS.jpg,,,,,,
932221818,4/13/2016 21:32:23,true,1957758083,,4/13/2016 21:17:29,false,elite,1.0,35959324,BRA,30,Recife,187.78.144.147,No,VEGETABLE FRIED RICE,,,,,,,,,,,,,,,,,,,,,$4.25,PORK FRIED RICE,,,$4.25,CHICKEN FRIED RICE,$4.25,BEEF FRIED RICE,$4.50,SHRIMP FRIED RICE,$4.50,SUBGUM FRIED RICE,$5,,,,,,,,No,Vegetable Fried Rice,$4.25,Pork Fried Rice,$4.25,Chicken Fried Rice,$4.25,Beef Fried Rice,$4.50,Shrimp Fried Rice,$4.50,Subgum Fried Rice,$5,http://i.imgur.com/Ra3SQWS.jpg,,,,,,
932221818,4/13/2016 21:34:26,true,1957760615,true,4/13/2016 21:25:23,false,clixsense,0.75,33315191,IND,07,Delhi,106.203.79.249,No,GEGETABLE FRIED RICE,,,,,,,,,,,,,,,,,,,,,$4.25,PORK FRIED RICE,,,$4.25,CHICKEN FRIED RICE,$4.25,BEEF FRIED RICE,$4.50,SHRIMP FRIED RICE,$4.50,SUBGUM FRIED RICE,$5,,,,,,,,No,Vegetable Fried Rice,$4.25,Pork Fried Rice,$4.25,Chicken Fried Rice,$4.25,Beef Fried Rice,$4.50,Shrimp Fried Rice,$4.50,Subgum Fried Rice,$5,http://i.imgur.com/Ra3SQWS.jpg,,,,,,
932221818,4/13/2016 21:36:53,true,1957763904,,4/13/2016 21:07:49,false,neodev,1.0,30230665,BGD,81,Dhaka,103.231.162.54,No,VEGETABLE FRIED RICE,,,,,,,,,,,,,,,,,,,,,$4.25,PORK FRIED RICE,,,$4.25,CHICKEN FRIED RICE,$4.25,BEEF FRIED RICE,$4.50,SHRIMP FRIED RICE,$4.50,SUBGUM FRIED RICE,$5,,,,,,,,No,Vegetable Fried Rice,$4.25,Pork Fried Rice,$4.25,Chicken Fried Rice,$4.25,Beef Fried Rice,$4.50,Shrimp Fried Rice,$4.50,Subgum Fried Rice,$5,http://i.imgur.com/Ra3SQWS.jpg,,,,,,
932221818,4/13/2016 21:44:22,true,1957773421,,4/13/2016 21:16:42,false,neodev,1.0,34980763,ESP,31,Molina De Segura,95.39.140.222,No,Vegetable Fried Rice,,,,,,,,,,,,,,,,,,,,,$4.25,Pork Fried Rice,,,$4.25,Chicken Fried Rice,$4.25,Beef Fried Rice,$4.50,Shrimp Fried Rice,$4.50,Subgum Fried Rice,$5,,,,,,,,No,Vegetable Fried Rice,$4.25,Pork Fried Rice,$4.25,Chicken Fried Rice,$4.25,Beef Fried Rice,$4.50,Shrimp Fried Rice,$4.50,Subgum Fried Rice,$5,http://i.imgur.com/Ra3SQWS.jpg,,,,,,
932245967,4/13/2016 21:12:20,true,1957731632,,4/13/2016 21:03:56,false,neodev,1.0,11358679,ITA,16,Florence,93.51.70.34,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
932245967,4/13/2016 21:13:46,true,1957733731,,4/13/2016 21:07:07,false,clixsense,1.0,19420291,BRA,15,Juiz De Fora,189.13.131.79,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
932245967,4/13/2016 21:14:51,true,1957735275,,4/13/2016 21:05:35,false,neodev,1.0,33883284,VEN,07,Valencia,186.95.206.30,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
932245967,4/13/2016 21:17:41,true,1957739153,,4/13/2016 21:11:19,false,neodev,1.0,12938520,PRT,04,Braga,212.13.56.12,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
932245967,4/13/2016 21:18:47,true,1957740464,,4/13/2016 21:13:04,false,neodev,1.0,36994438,GRC,35,Athens,37.32.247.218,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
932245967,4/13/2016 21:22:48,true,1957745621,,4/13/2016 21:16:45,false,elite,1.0,34473616,BIH,"","",91.191.16.135,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
932245967,4/13/2016 21:28:14,true,1957752557,,4/13/2016 21:22:52,false,clixsense,1.0,36537552,POL,79,Zdzieszowice,87.206.235.81,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
932245967,4/13/2016 21:29:01,true,1957753572,,4/13/2016 21:20:36,false,clixsense,1.0,34007947,IDN,08,Surabaya,112.215.153.207,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
932245967,4/13/2016 21:29:27,true,1957754262,,4/13/2016 21:08:29,false,elite,1.0,37275192,SRB,00,Belgrade,109.92.158.211,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,http://i.imgur.com/vZ6srBF.jpg,,,,,,
