1,22
2,43
3,58
4,73
5,27
6,16
7,18
8,11
9,21
10,11
11,77
12,32
13,37
14,59
15,36
16,44
17,29
18,29
19,27
20,40
21,11
22,19
23,40
24,20
25,29
26,43
27,4
28,26
29,35
