1968646031,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_1.jpg,Hanan Falafel,$4,,,,,,,Hanan Hoummos,$3.50,Baba Ghanoush,$4,Hanan Hoummos Baba Ghanoush,$4.50,Stuffed Grape Leaves,$4.50,Stuffed Grape Leaves and Feta Cheese,$4.75,Hanan Falafel With Hoummos,$4.50,,,,
1968659309,https://dl.dropboxusercontent.com/u/17481094/27foodtruck_1.jpg,Burrito,$7,,,,,,,Tacos,$2.50,Torta,$7,Torta Cubana,$9,Tostada,$3,Quesadilla,$7,,,,,,
1968604066,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_1.jpg,Fried Wonton (5),$1.25,,,,,,,Shrimp Egg Roll (1),$1.25,Pork Dumplings (6) - Steamed,$3,Pork Dumplings ( 6) - Pan Fried,$3.50,,,,,,,,,,
1968664992,https://dl.dropboxusercontent.com/u/17481094/29foodtruck_1.jpg,Chicken Burrito,$5,,,,,,,Chicken Verde Burrito,$5,Beef Barbacoa Burrito,$5.75,Pork Carnitas,$5,Pork Verde Burrito,$5,,,,,,,,
1968628494,https://dl.dropboxusercontent.com/u/17481094/1foodtruck_2.jpg,Small,$3.50,,,,,,,Medium,$4,Large,$4.50,,,,,,,,,,,,
1968650102,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_2.jpg,Beef Pho,$6,Pork Katsu,$5,Salad,$1.50,Avocado Salad,$2,Chicken,$6,Meatballs,$6,Combination (All 3 Meats),$7,Vegetable Yakiudon,$5,Tofu Yakiudon,$5,Beef Yakiudon,$5,Chicken Yakiudon,$5,Chicken Katsu,$5
1968616515,https://dl.dropboxusercontent.com/u/17481094/3foodtruck_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,
1968616590,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,
1968636722,https://dl.dropboxusercontent.com/u/17481094/5foodtruck_2.jpg,Chicken Over Rice,$5,,,,,,,Lamb Over Rice,$5,Gyro Falafel,$4,,,,,,,,,,,,
1968589326,https://dl.dropboxusercontent.com/u/17481094/6foodtruck_2.jpg,Grilled Fish Over Rice,$5,,,,,,,Grilled Chicken Over Rice,$5,Grilled Beef,$5,Grilled Beef & Kebab Over Rice,$5,Grilled Chicken Tostada,$5,Grilled Chicken Salad,$5,,,,,,
1968624013,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,
1968622041,https://dl.dropboxusercontent.com/u/17481094/8foodtruck_2.jpg,Chicken Over Rice,$5,,,,,,,Lamb Over Rice,$5,Falafel Over Rice,$5,Chicken Gyro,$4,Lamb Gyro,$4,Combo Rice,$6,Falafel Gyro,$4,Combo Gyro,$4,,
1968608969,https://dl.dropboxusercontent.com/u/17481094/10foodtruck_2.jpg,Broccoli,$4.50,,,,,,,Orange Flavor,$4.50,,,,,,,,,,,,,,
1968642936,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_2.jpg,Chicken W. Vegetables,$4.50,Cashew Nut Chicken,$4.50,,,,,General Tso's Chicken,$4.50,Grandfather Chicken,$4.50,Sweet & Sour Chicken,$4.50,Sesame Chicken,$4.50,Almond Chicken,$4.50,Chinese Veg. Chicken,$4.50,Tofu Vegetable Chicken,$4.50,Broccoli Chicken,$4.50
1968603187,https://dl.dropboxusercontent.com/u/17481094/12foodtruck_2.jpg,Korean BBQ Beef Short Rib Tacos,$3,,,,,,,Thai Basil Chicken Tacos,$3,Edamame Tacos,$3,Korean BBQ Beef Short Rib and Kimchi Burrito,$5,Grilled BBQ Lemongrass Pork Bahn Mi Sandwich,$5,Steamed Pork Buns,$3,Curry of the Week Over Rice,$6,BBQ Lemongrass Pork Over Rice,$6,Thai Basil Chicken over Rice,$6
1968661491,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_2.jpg,Dervish Delight,$8,,,,,,,McNinja,$8,Smurf 'N Turf,$8,Calico Kid,$8,Calico Katy,$8,McManchu,$8,Wabi Hara,$8,Trojan,$8,,
1968618126,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_2.jpg,Egg & Cheese,$2.25,,,,,,,Egg White & Cheese,$2.50,Egg & Cheese W/ Vegetable,$3,,,,,,,,,,,,
