1968596203,https://dl.dropboxusercontent.com/u/17481094/6foodtruck_1.jpg,Lunch Combo,$5,,,,,,,Grilled Fish Over Rice,$6,Grilled Chicken Over Rice,$5.10,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/6foodtruck_1.jpg
1968615379,https://dl.dropboxusercontent.com/u/17481094/6foodtruck_1.jpg,Grilled Chicken Over Rice,$5,,,,,,,Grilled Fish Over Rice,$6,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/6foodtruck_1.jpg
1968622539,https://dl.dropboxusercontent.com/u/17481094/6foodtruck_1.jpg,5,$5,5,$5.00,5,$5.00,5,$5.00,5,$5.00,5,$5.00,5,$5,5,$5.00,5,$5,5,$5.00,5,$5,5,$5,https://dl.dropboxusercontent.com/u/17481094/6foodtruck_1.jpg
1968594391,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_1.jpg,Tiramisu Traditional,$1.50,,,,,,,Tiramisu Large,$2.25,Samoa Girl Scout Cookie,$3.50,Bluberry Tres Leches Cake,$4,Creme Brule,$4,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_1.jpg
1968594472,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_1.jpg,Milk and Honey,$1.50,,,,,,,Strawberry,$1.50,Chocolate,$1.50,Dulce De Leche,$1.50,Green Tea,$1.50,Tiramisu,$1.50,Cookie Dough,$1.50,Creme Brulee,$4,clueberry tres leches cake,$4,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_1.jpg
1968630233,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_1.jpg,Tiramisu,$1.50,,,,,,,Samoa Girl Scout Cook,$3.50,Blueberry Tres Leches Cake,$4,Creme Brulee,$4,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_1.jpg
1968593385,https://dl.dropboxusercontent.com/u/17481094/8foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/8foodtruck_1.jpg
1968609899,https://dl.dropboxusercontent.com/u/17481094/8foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/8foodtruck_1.jpg
1968614856,https://dl.dropboxusercontent.com/u/17481094/8foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/8foodtruck_1.jpg
1968604894,https://dl.dropboxusercontent.com/u/17481094/9foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/9foodtruck_1.jpg
